"document","year"
"2906831.2906864","2016"
"2906831.2906866","2016"
"2906831.2906867","2016"
"2906831.2906868","2016"
"2906831.2906869","2016"
"2906831.2906873","2016"
"2906831.2906874","2016"
"2906831.2906875","2016"
"2906831.2906876","2016"
"2906831.2906878","2016"
"2906831.2906879","2016"
"2906831.2906880","2016"
"2906831.2906882","2016"
"2906831.2906883","2016"
"2906831.2906884","2016"
"2906831.2906885","2016"
"2906831.2906886","2016"
"2906831.2906888","2016"
"2906831.2906889","2016"
"2906831.2906890","2016"
"2906831.2906891","2016"
"2906831.2906892","2016"
"2906831.2906894","2016"
"2906831.2906895","2016"
"2906831.2906896","2016"
"2906831.2906897","2016"
"2906831.2906898","2016"
"2909824.3020207","2017"
"2909824.3020208","2017"
"2909824.3020209","2017"
"2909824.3020210","2017"
"2909824.3020211","2017"
"2909824.3020212","2017"
"2909824.3020213","2017"
"2909824.3020214","2017"
"2909824.3020215","2017"
"2909824.3020216","2017"
"2909824.3020217","2017"
"2909824.3020218","2017"
"2909824.3020219","2017"
"2909824.3020220","2017"
"2909824.3020221","2017"
"2909824.3020222","2017"
"2909824.3020223","2017"
"2909824.3020224","2017"
"2909824.3020225","2017"
"2909824.3020226","2017"
"2909824.3020227","2017"
"2909824.3020228","2017"
"2909824.3020229","2017"
"2909824.3020230","2017"
"2909824.3020231","2017"
"2909824.3020232","2017"
"2909824.3020233","2017"
"2909824.3020234","2017"
"2909824.3020235","2017"
"2909824.3020236","2017"
"2909824.3020237","2017"
"2909824.3020238","2017"
"2909824.3020239","2017"
"2909824.3020240","2017"
"2909824.3020241","2017"
"2909824.3020242","2017"
"2909824.3020243","2017"
"2909824.3020244","2017"
"2909824.3020245","2017"
"2909824.3020246","2017"
"2909824.3020247","2017"
"2909824.3020248","2017"
"2909824.3020249","2017"
"2909824.3020250","2017"
"2909824.3020251","2017"
"2909824.3020252","2017"
"2909824.3020253","2017"
"2909824.3020254","2017"
"2909824.3020255","2017"
"2909824.3020256","2017"
"2909824.3020257","2017"
"3029798.3034782","2017"
"3029798.3034783","2017"
"3029798.3034784","2017"
"3029798.3034785","2017"
"3171221.3171241","2018"
"3171221.3171242","2018"
"3171221.3171243","2018"
"3171221.3171244","2018"
"3171221.3171245","2018"
"3171221.3171246","2018"
"3171221.3171247","2018"
"3171221.3171248","2018"
"3171221.3171249","2018"
"3171221.3171250","2018"
"3171221.3171251","2018"
"3171221.3171252","2018"
"3171221.3171253","2018"
"3171221.3171254","2018"
"3171221.3171255","2018"
"3171221.3171256","2018"
"3171221.3171257","2018"
"3171221.3171258","2018"
"3171221.3171259","2018"
"3171221.3171260","2018"
"3171221.3171261","2018"
"3171221.3171262","2018"
"3171221.3171263","2018"
"3171221.3171264","2018"
"3171221.3171265","2018"
"3171221.3171266","2018"
"3171221.3171267","2018"
"3171221.3171268","2018"
"3171221.3171269","2018"
"3171221.3171270","2018"
"3171221.3171271","2018"
"3171221.3171272","2018"
"3171221.3171273","2018"
"3171221.3171274","2018"
"3171221.3171275","2018"
"3171221.3171276","2018"
"3171221.3171277","2018"
