"","2012-2013","2014-2015","2016-2017","2018-2019","2020-2021"
"topic_1","trust","trust","trust","trust scale","abuse"
"topic_2","older adults","privacy","privacy","privacy","brightness"
"topic_3","head motion","nodding generation","gaze shifts","angry emotion","texture"
"topic_4","wikipedia","skin deformation","skin deformation","skin deformation","skin deformation"
"topic_5","load force","shared attention gaze","human human handover","infrasound","infrasound"
"topic_6","object transfer","object transfer","sex robots","sex robots","sex robots"
"topic_7","wikipedia","handshake","handshake","drone","drone"
"topic_8","grip force","shared attention gaze","human human handover","infrasound","infrasound"
