"","2012-2013","2014-2015","2016-2017","2018-2019","2020-2021"
"Topic 1","0.72 Subtopic 9,
0.69 Subtopic 14,
0.63 Subtopic 7","0.71 Subtopic 9,
0.67 Subtopic 14,
0.61 Subtopic 7","0.7 Subtopic 9,
0.66 Subtopic 14,
0.6 Subtopic 7","0.73 Subtopic 9,
0.68 Subtopic 14,
0.62 Subtopic 7","0.59 Subtopic 9,
0.59 Subtopic 14,
0.52 Subtopic 7"
"Topic 2","1.24 Subtopic 10,
1.23 Subtopic 8","1.21 Subtopic 10,
1.17 Subtopic 8,
0 Subtopic 3","1.16 Subtopic 10,
1.12 Subtopic 8","1.12 Subtopic 10,
1.09 Subtopic 8","1.29 Subtopic 10,
1.23 Subtopic 8,
0 Subtopic 16"
"Topic 3","1.16 Subtopic 2","1.14 Subtopic 2","1.35 Subtopic 2","1.26 Subtopic 2","1.16 Subtopic 2,
0 Subtopic 16"
"Topic 4","0.45 Subtopic 15,
0.29 Subtopic 13","0.38 Subtopic 15,
0.28 Subtopic 13","0.49 Subtopic 13,
0.27 Subtopic 15","0.76 Subtopic 13,
0.36 Subtopic 15","0.8 Subtopic 15,
0.36 Subtopic 13,
0 Subtopic 16"
"Topic 5","1.02 Subtopic 1,
0.67 Subtopic 4","0.98 Subtopic 1,
0.61 Subtopic 4","0.95 Subtopic 1,
0.65 Subtopic 4","0.83 Subtopic 1,
0.5 Subtopic 4","1 Subtopic 1,
0.8 Subtopic 4,
0 Subtopic 16"
"Topic 6","1.2 Subtopic 16,
0.41 Subtopic 6","1.05 Subtopic 16,
0.54 Subtopic 6","1.01 Subtopic 16,
0.47 Subtopic 6","0.97 Subtopic 16,
0.45 Subtopic 6","1.22 Subtopic 16"
"Topic 7","0.63 Subtopic 11,
0.53 Subtopic 12","0.77 Subtopic 11,
0.69 Subtopic 12","0.74 Subtopic 11,
0.64 Subtopic 12","0.83 Subtopic 11,
0.75 Subtopic 12","0.77 Subtopic 11,
0.66 Subtopic 12"
"Topic 8","0.95 Subtopic 3","1.21 Subtopic 3","1.2 Subtopic 3","1.13 Subtopic 3","0.9 Subtopic 3"
